Property,Property Score,Unit Type,Location,Date Posted,Monthly Rent
The Carlisle,4.8,3BR/2.5BA,"Omaha, NE",2d,"$1,375 - $1,925 (RentPulse est.)"
The Tessera,4.6,3BD/2BA,"Raleigh, NC",12d,"$1,625 - $1,850 (Landlord est.)"
Sycamore Court,4.1,Five Bedroom House,"State College, PA",11d,
Foxwood Crossing,3.2,2 Bed / 2 Bath - Renovated,"New Orleans, LA",3d,"$1,375 - $2,025 (Landlord est.)"
Bayside Apartment Homes,3.0,1 Bedroom Garden Level,"Portland, OR",2d,"$1,350 - $1,800 (RentPulse est.)"
Autumn Ridge Apartments,3.5,1 Bedroom - Upgraded Finishes,United States,10d,"$1,150 - $1,500 (RentPulse est.)"
The Fairmount,,4BR/2BA,Dallas-Fort Worth,30d+,"$2,150 - $2,575 (RentPulse est.)"
The Fairmount,3.9,3 Bedroom Townhouse,"Portland, OR",16d,"$2,250 - $2,950 (RentPulse est.)"
Parkview Terrace,4.3,"One Bed, One Bath","Hartford, CT",30d+,"$1,225 - $1,525 (Landlord est.)"
Willow Creek Apartments,3.5,2 Bedroom Apartment,"Erie, PA",3d,
Kingsley Park Apartments,2.7,1 Bedroom - Upgraded Finishes,"Tampa, FL",10d,
Parkview Terrace,3.0,Three Bedroom Townhome,"Hartford, CT",30d+,"$2,000 - $2,225 (RentPulse est.)"
Stonebridge Village,,2 Bed / 1.5 Bath,"Austin, TX",7d,"$1,525 - $2,175 (Landlord est.)"
Union Yards,3.7,2BR/2BA,"Erie, PA",2d,"$925 - $1,150 (RentPulse est.)"
Granite Falls Apartments,3.8,1 Bed/1 Bath (Corner Unit),Dallas-Fort Worth,2d,"$1,050 - $1,250 (Landlord est.)"
The Windermere,4.5,One Bedroom Apartment Home,"Ann Arbor, MI",30d+,"$1,050 - $1,250 (Landlord est.)"
Station Square Residences,3.4,Two Bedroom Apartment Home,Multiple Locations,3d,"$1,700 - $2,200 (Landlord est.)"
Maple Grove Commons,3.9,2 Bed / 2 Bath - Renovated,"Akron, OH",10d,"$1,175 - $1,450 (Landlord est.)"
The Coventry,3.3,1BR/1BA,"St. Louis, MO",16d,
Waterford Place,2.7,2BR,"Buffalo, NY",10d,"$1,075 - $1,575 (Landlord est.)"
Spring Garden Commons,4.6,"One Bed, One Bath","Farmington Hills, MI",8d,"$1,100 - $1,450 (Landlord est.)"
Maple Grove Commons,4.5,1 bed 1 bath,"Providence, RI",10d,"$1,400 - $1,900 (RentPulse est.)"
Willow Creek Apartments,3.7,2 bed 2 bath,"Chattanooga, TN",8d,"$1,025 - $1,175 (Landlord est.)"
Fieldstone Commons,3.1,One Bedroom / One Bath,"Portland, OR",30d+,"$1,450 - $1,750 (Landlord est.)"
Northgate Apartment Homes,3.9,1 Bed / 1 Bath + Den,Inland Empire,3d,"$1,375 - $1,850 (Landlord est.)"
Lakeshore Landing,3.1,3 Bedroom Apartment,"Boston, MA",8d,
Station Square Residences,3.8,Micro Studio,"St. Louis, MO",5d,"$825 - $1,075 (Landlord est.)"
Waterford Place,4.3,3BR/2BA,"Ann Arbor, MI",2d,"$1,625 - $1,875 (Landlord est.)"
The Ardmore,,4BR/2BA,"Dayton, OH",7d,"$1,700 - $1,875 (RentPulse est.)"
"The Yards at Ohio River, Tower A",4.0,3 Bed / 2.5 Bath,"Memphis, TN",30d+,"$1,475 - $1,850 (Landlord est.)"
The Marigold,3.8,One Bedroom Townhome,"Little Rock, AR",3d,$725 - $975 (RentPulse est.)
The Carlisle,4.7,4BR/4BA (Per Bed Lease),"Indianapolis, IN",1d,"$2,000 - $2,700 (Landlord est.)"
Meridian Court,,Studio,"Farmington Hills, MI",30d+,"$750 - $1,050 (RentPulse est.)"
Thistlewood Commons,2.8,3 Bedroom Apartment,"Nashville, TN",7d,"$1,850 - $2,025 (Landlord est.)"
Thistlewood Commons,4.6,TWO BEDROOM,"Fresno, CA",2d,"$1,350 - $1,700 (Landlord est.)"
Cypress Creek Village,3.6,"2 Bed, 2 Bath, Den","Albuquerque, NM",5d,"$1,225 - $1,675 (Landlord est.)"
Brightwater Flats,3.6,2 Bedroom Apartment,"Dallas, TX",18d,
Cypress Creek Village,3.9,2 Bedroom Apartment,"Tampa, FL",11d,"$1,600 - $1,825 (Landlord est.)"
Wexford Place,2.1,2 Bed / 2 Bath,"Los Angeles, CA",4d,
"Beacon Residential Group, LLC",4.6,1 Bedroom - Upgraded Finishes,"New Orleans, LA",1d,"$1,175 - $1,525 (Landlord est.)"
"Sandalwood Apartments, South Campus",3.3,2 Bedroom Townhome,,4d,"$1,325 - $1,800 (Landlord est.)"
The Larkspur,3.6,5 Bed / 3 Bath,"Toledo, OH",30d+,"$1,700 - $1,875 (RentPulse est.)"
Mill District Lofts,3.7,1BD/1BA,"Los Angeles, CA",4d,"$1,675 - $2,025 (Landlord est.)"
"The Grove at Erie, Building C",3.1,1 Bed / 1 Bath + Den,"Scranton, PA",9d,"$925 - $1,200 (RentPulse est.)"
Cypress Creek Village,,2 Bed / 1 Bath,"New York, NY",1d,"$2,625 - $3,250 (Landlord est.)"
"Pinnacle Living, Inc.",4.1,Studio Apartment,Northern Virginia,1d,"$1,175 - $1,675 (Landlord est.)"
Sycamore Court,3.7,"One Bed, One Bath","San Francisco, CA",3d,"$1,800 - $2,225 (RentPulse est.)"
Oakhaven Apartments,4.6,3 Bedroom House,"Erie, PA",30d+,
The Rowan,,1BD/1BA,,3d,"$1,025 - $1,275 (Landlord est.)"
"The Yards at Ohio River, Tower A",4.6,One Bedroom,"Sacramento, CA",6d,"$1,275 - $1,775 (RentPulse est.)"
The Coventry,3.1,Three Bedroom,,14d,"$1,400 - $1,750 (Landlord est.)"
Prospect Point Flats,4.5,Junior Studio,"Athens, GA",28d,"$700 - $1,000 (Landlord est.)"
The Ardmore,3.8,1 bed 1 bath,"Milwaukee, WI",2d,"$950 - $1,350 (RentPulse est.)"
Union Yards,3.2,"2 Bed, 2 Bath, Den",United States,3d,"$1,500 - $1,650 (RentPulse est.)"
Maple Grove Commons,3.7,One Bedroom Townhome,"Portland, OR",30d+,"$1,325 - $1,500 (RentPulse est.)"
Wexford Place,3.4,4BR/4BA (Per Bed Lease),"Ithaca, NY",9d,"$1,825 - $2,325 (Landlord est.)"
Mill District Lofts,4.0,3 Bedroom Apartment,"Minneapolis, MN",20d,"$1,675 - $2,350 (Landlord est.)"
Maple Grove Commons,4.8,Five Bedroom House,"Miami, FL",9d,"$2,625 - $3,800 (Landlord est.)"
Autumn Ridge Apartments,4.4,2 Bed / 1.5 Bath,"Sacramento, CA",10d,"$1,900 - $2,525 (Landlord est.)"
Rosewood Terrace,4.0,Two Bedroom / Two Bath,"Indianapolis, IN",1d,"$1,300 - $1,775 (Landlord est.)"
Brightwater Flats,4.4,2BD/2BA,"Hartford, CT",14d,"$1,425 - $1,950 (RentPulse est.)"
The Ardmore,2.9,1 Bedroom Loft,"Houston, TX",2d,"$1,075 - $1,525 (Landlord est.)"
Barrett Square Apartments,,3 Bed / 2.5 Bath,"Ithaca, NY",9d,"$1,850 - $2,375 (RentPulse est.)"
The Dover,3.7,One Bedroom,"Buffalo, NY",6d,"$925 - $1,250 (RentPulse est.)"
Silverleaf Apartments,4.1,2BR,"Scranton, PA",5d,"$1,150 - $1,550 (Landlord est.)"
The Juniper,3.1,1 Bedroom Garden Level,"Columbus, OH",2d,"$1,075 - $1,225 (Landlord est.)"
Meridian Court,3.8,"Two Bed, Two Bath (Top Floor)","Columbus, OH",10d,"$1,425 - $1,925 (Landlord est.)"
Cedar Ridge Village,3.5,One Bedroom,"Bloomington, IN",5d,"$925 - $1,150 (Landlord est.)"
Rosewood Terrace,,2 Bedroom Apartment,"State College, PA",24d,"$1,125 - $1,350 (Landlord est.)"
The Weatherby,3.7,2 Bed / 2 Bath - Renovated,"Phoenix, AZ",30d+,"$1,750 - $2,425 (Landlord est.)"
Greenway Crossing,4.1,4BR/2BA,"Scranton, PA",30d+,"$1,550 - $2,075 (Landlord est.)"
The Tessera,4.1,1 Bedroom Apartment,"Nashville, TN",30d+,"$1,225 - $1,350 (Landlord est.)"
The Weatherby,4.3,1 Bed / 1 Bath + Den,"Chicago, IL",30d+,"$1,400 - $1,800 (Landlord est.)"
Birchwood Estates,3.9,2 Bed / 2 Bath - Renovated,"Chicago, IL",30d+,"$1,550 - $2,125 (RentPulse est.)"
Verdant Square,3.9,Efficiency / Studio,,30d+,"$875 - $1,050 (Landlord est.)"
Brookside Manor,,2BD/2BA,"Wichita, KS",28d,"$1,050 - $1,475 (RentPulse est.)"
Ironworks Lofts,4.8,3BR/2.5BA,"Houston, TX",20d,
Meridian Court,4.4,Five Bedroom House,"Ann Arbor, MI",14d,"$2,325 - $2,900 (Landlord est.)"
The Larkspur,3.6,4BR/4BA (Per Bed Lease),"Toledo, OH",2d,
The Tessera,4.0,1 bed 1 bath,"Minneapolis, MN",10d,"$1,200 - $1,425 (Landlord est.)"
The Weatherby,,3BR/2.5BA,United States,2d,"$1,950 - $2,650 (RentPulse est.)"
Thistlewood Commons,3.0,2 Bed / 1 Bath,"Seattle, WA",2d,"$2,025 - $2,650 (Landlord est.)"
Birchwood Estates,4.5,2 Bedroom Apartment,"Boston, MA",2d,"$1,950 - $2,575 (Landlord est.)"
Sycamore Court,3.4,Studio Loft,Research Triangle,2d,"$950 - $1,225 (RentPulse est.)"
The Dover,3.9,Efficiency,"Dayton, OH",1d,$675 - $875 (Landlord est.)
Trailside at Fox Run,2.7,3BR/2BA,"Atlanta, GA",2d,"$1,825 - $2,375 (Landlord est.)"
Vintage Brick Lofts,3.9,1 Bedroom Apartment,"Boise, ID",30d+,"$1,175 - $1,675 (RentPulse est.)"
"Hartwell Properties, Inc.",3.6,1 Bed / 1.5 Bath,"Colorado Springs, CO",4d,"$1,125 - $1,325 (RentPulse est.)"
The Larkspur,3.3,Studio (Utilities Included),"New York, NY",2d,"$1,750 - $2,275 (RentPulse est.)"
Fieldstone Commons,4.0,1 bed 1 bath,"Providence, RI",8d,"$1,200 - $1,575 (Landlord est.)"
Hawthorne Place,3.3,2 Bed / 2 Bath - Renovated,"Los Angeles, CA",4d,"$2,025 - $2,725 (RentPulse est.)"
Emerald Bay Apartments,2.2,1 Bed / 1 Bath,"Bloomington, IN",12d,"$1,025 - $1,375 (RentPulse est.)"
Emerald Bay Apartments,,Studio / Open Floor Plan,"Bloomington, IN",1d,
Kingsley Park Apartments,4.2,Junior Studio,"Toledo, OH",11d,$650 - $950 (RentPulse est.)
"The Grove at Erie, Building C",4.3,2 Bedroom Apartment,"Salt Lake City, UT",30d+,"$1,675 - $2,200 (RentPulse est.)"
The Dover,4.3,1 Bedroom Garden Level,"Dayton, OH",5d,$700 - $850 (RentPulse est.)
Pebble Brook Village,2.9,TWO BEDROOM,"Columbus, OH",2d,"$1,400 - $1,800 (RentPulse est.)"
Waterford Place,4.4,2 Bed / 2 Bath - Renovated,"Bakersfield, CA",6d,"$1,375 - $1,575 (Landlord est.)"
Tanglewood Apartments,4.3,3 bed 2 bath,"Portland, OR",9d,"$2,325 - $3,125 (Landlord est.)"
Silverleaf Apartments,4.4,Three Bedroom,"Sacramento, CA",5d,"$2,150 - $2,925 (Landlord est.)"
Northgate Apartment Homes,4.4,3BR/2.5BA,"Sacramento, CA",10d,"$2,375 - $3,075 (Landlord est.)"
The Beacon on Main,4.0,2 Bed / 1.5 Bath,"Hartford, CT",2d,"$1,475 - $1,650 (Landlord est.)"
Summit House,3.8,1BR/1BA,"Dallas, TX",3d,
The Juniper,4.0,Five Bedroom House,"Hartford, CT",30d+,"$2,400 - $3,375 (RentPulse est.)"
Quarry Hill Apartments,3.8,1 Bed/1 Bath (Corner Unit),"Las Vegas, NV",1d,
The Dover,3.5,Three Bedroom,"Ithaca, NY",4d,"$1,625 - $2,075 (RentPulse est.)"
Northgate Apartment Homes,4.2,One Bedroom / One Bath,"Tucson, AZ",20d,$825 - $975 (Landlord est.)
Oakhaven Apartments,3.4,Two Bedroom,"Indianapolis, IN",10d,"$1,175 - $1,325 (Landlord est.)"
Clearview Heights,4.6,"Two Bed, Two Bath (Top Floor)",Greater Boston Area,2d,"$2,350 - $3,275 (Landlord est.)"
Autumn Ridge Apartments,4.3,2 Bedroom Duplex,"Toledo, OH",5d,"$850 - $1,050 (Landlord est.)"
"Beacon Residential Group, LLC",2.9,Two Bedroom,"San Diego, CA",4d,"$2,325 - $3,325 (RentPulse est.)"
Prospect Point Flats,4.0,"Three Bed, Two Bath","Reno, NV",7d,"$1,950 - $2,400 (Landlord est.)"
"Hartwell Properties, Inc.",2.8,2BR/2BA,"Memphis, TN",10d,"$1,025 - $1,450 (RentPulse est.)"
The Windermere,4.1,"Two Bed, Two Bath (Top Floor)","Los Angeles, CA",3d,"$2,125 - $2,675 (Landlord est.)"
Quarry Hill Apartments,4.3,1 Bed / 1 Bath + Den,"Austin, TX",30d+,"$1,475 - $1,825 (RentPulse est.)"
The Weatherby,4.1,Studio / Open Floor Plan,Greater Boston Area,8d,"$1,500 - $1,650 (Landlord est.)"
The Hollis,3.7,2 Bed / 2 Bath - Renovated,"St. Louis, MO",30d+,"$1,100 - $1,475 (RentPulse est.)"
Waterford Place,2.5,1 Bedroom Loft,"Raleigh, NC",30d+,"$1,075 - $1,600 (Landlord est.)"
Greenway Crossing,2.3,3BR/2.5BA,"Omaha, NE",2d,"$1,350 - $1,550 (RentPulse est.)"
Verdant Square,3.3,One Bedroom / One Bath,"Toledo, OH",3d,"$750 - $1,075 (Landlord est.)"
The Alder,3.3,2 bed 2 bath,"Columbus, OH",30d+,"$1,350 - $1,725 (RentPulse est.)"
Foxwood Crossing,3.7,2BD/2BA,"Columbus, OH",30d+,"$1,125 - $1,575 (Landlord est.)"
Pinecrest Gardens,4.7,Two Bedroom Apartment Home,"Buffalo, NY",1d,"$1,125 - $1,250 (Landlord est.)"
"The Yards at Ohio River, Tower A",4.4,1BR/1BA,"Denver, CO",13d,
The Merchant Lofts,3.9,Four Bedroom Townhome,"Tucson, AZ",30d+,"$1,975 - $2,900 (Landlord est.)"
Pinecrest Gardens,3.7,Four Bedroom Townhome,"Chicago, IL",3d,"$2,925 - $3,775 (Landlord est.)"
Union Yards,4.1,5 Bed / 3 Bath,"Columbus, OH",30d+,"$2,050 - $2,475 (RentPulse est.)"
The Sterling,3.2,studio,"Little Rock, AR",9d,$675 - $775 (Landlord est.)
Canal Street Flats,4.1,4BR/4BA (Per Bed Lease),Dallas-Fort Worth,30d+,"$2,025 - $2,775 (RentPulse est.)"
Bayside Apartment Homes,3.4,2BR,"Little Rock, AR",3d,"$1,050 - $1,225 (RentPulse est.)"
The Coventry,4.6,2BR/2BA,"Farmington Hills, MI",9d,"$1,075 - $1,575 (RentPulse est.)"
Copperfield Commons,3.1,2 Bedroom Duplex,"Akron, OH",30d+,"$1,050 - $1,325 (RentPulse est.)"
Granite Falls Apartments,3.3,Studio - Renovated,"Boston, MA",20d,"$1,275 - $1,600 (RentPulse est.)"
