Company,Company Score,Job Title,Location,Date,Salary
TDI Technologies,,Senior Software Engineer - Backend - AI Projects,Remote,24d,
Abbott Laboratories,,2172 Software Engineer 1,"Fort Meade, MD",18d,
Prove,,Database Software Engineer,Pennsylvania,6d,
"Red Hat, Inc.",,Sr. Software Engineer – Full Stack,"Alameda, CA",3d,
Coinbase,,PLATFORM ENGINEER II/ Software Engineer,"Ireland, WV",30d+,
Home Care Pulse Llc,,GPU/Accelerator Packaging Software Engineer,"Boston, MA",30d+,
Chatsworth Products,,"Senior Software Engineer, Infrastructure - Platform (Routing)",Remote,6d,
State Street,,Senior Full Stack Software Engineer,"Tampa, FL",24d,
KLA Corporation,,Software Engineer,"Round Rock, TX",3d,
FICO,,Software application developer - Officer (Onsite),"Boston, MA",12d,
Sirius XM,,"Software Engineer (C++/OOD/OOP, Linux, Multi-Thread/Multi-Process)","Milpitas, CA",30d+,
Spotify,,Senior Java Engineer,"San Rafael, CA",6d,
ETC,,Software Engineer III,"Oakland, CA",30d+,
"CapSquare Systems, Inc.",,"Android Engineer, Music","New York, NY",20d,
McKesson,,Software Engineer - Entertainment Controls,"Middleton, WI",30d+,
bioMerieux SA,,Software Engineer,"Troy, MI",12d,
"Amazon Data Services, Inc.",,Senior Software Engineer,"Irving, TX",30d+,
DarkStar Intelligence LLC,,Software Engineer II - Cybersecurity and OS Configuration,"Salt Lake City, UT",3d,
Fidelity Investments,,"Software Development Engineer, Network Core-R&D","Seattle, WA",25d,
"10ZIG TECHNOLOGY, INC.",,Software Engineer,"Annapolis Junction, MD",25d,
"Ekeo Group, LLC",,Senior Software Engineer in Test,"Westlake, TX",4d,
AXS,,QA Automation Engineer,"Phoenix, AZ",3d,
"Red Hat, Inc.",,Software Engineer,"Bloomington, MN",13d,
Coupang,,Analytics Engineer,"Los Angeles, CA",3d,
"Verve, Inc.",,Senior Software Engineer,"Raleigh, NC",3d,
ARSIEM,,Staff Software Engineer,"Seattle, WA",3d,
Freeform,,Senior Software QA Engineer,"Cambridge, MA",3d,
Aspen Publishing,,568 Software Engineer 0,"Annapolis Junction, MD",30d+,
Calspan Corporation,,Software Engineer (C++),"Los Angeles, CA",9d,
Northrop Grumman,,Software Engineer,"Burlington, MA",1d,
Finish Line,,Software Engineer - Wind Tunnels & Hypersonics,"Saint Paul, MN",30d+,
UBS,,Software Development Analyst,"El Segundo, CA",10d,
Paycom,,Senior Software Engineer - Enterprise Solutions,"Indianapolis, IN",12d,
Oracle,,Software Engineer/Developer,"Raleigh, NC",12d,
"Patriot Technology and Business Partners, Inc.",,Software Developer,"Oklahoma City, OK",30d+,
Salesforce,,Senior Software Engineer,United States,1d,
Clarity Innovations,,Software Applications Engineer,"Orlando, FL",23d,
Adobe,,"Senior Full Stack Software Engineer, Code Builder/IDE","San Francisco, CA",30d+,
Blue Origin,,Software Engineer (Full Stack) (QC) TTO16-002,United States,8d,
"TRU Simulation + Training, Inc.",,Senior Software Engineer,"San Jose, CA",30d+,
Apple,,Aerospace App Software Engineer II,"Seattle, WA",27d,
Cart.com,,"Software Engineer (Aerodynamics) - TRU Simulation Training, Inc.","Tampa, FL",2d,
RealWork Labs,,IO Software Systems Test Engineer,"San Diego, CA",9d,
Disney,,Software Engineer,Texas,30d+,
Megaport,,Senior Software Engineer,"Austin, TX",10d,
"Vision Technologies, Inc",,Staff Software Engineer,"Celebration, FL",30d,
Thermo Fisher Scientific,,Deployment Engineer,,2d,
Innovative Defense Technologies (IDT),,Software Engineer III,United States,12d,
Salesforce,,Software Quality Assurance Engineer III,"Tewksbury, MA",16d,
Atrium Health,,Software Engineer,"Arlington, VA",5d,
BOEING,,Software Engineer - ML Infrastructure,"Bellevue, WA",30d+,
NVIDIA,,ServiceNow Sr Software Engineer,"Charlotte, NC",1d,
BOEING,,Senior Full Stack Software Engineer,"Annapolis Junction, MD",3d,
PacBio,,Principal Software Engineer - Full Stack,"Santa Clara, CA",2d,
Marquis Software Solutions Inc,,Software Engineer (Associate or Experienced),"Tukwila, WA",30d+,
Semper Valens Solutions,,"Senior Engineer, Software, Test","Menlo Park, CA",13d,
"Chick-fil-A, Inc.",,SR SOFTWARE ENGINEER,"Plano, TX",30d+,
Apple,,Software Engineer,"Belcamp, MD",11d,
CVS Health,,Lead Software Engineer,"Atlanta, GA",15d,
Alcorn State University,,Senior Software QA Engineer Apple Sevices Engineering.,"Seattle, WA",24h,
"Amazon Web Services, Inc. - A97",,Principal Software Development Engineer,"Hartford, CT",2d,
Reevo,,Software Engineer/Instructor,"Lorman, MS",30d+,
Teledyne Technologies Inc.,,"Software Dev Engineer II, AWS Applications","Seattle, WA",26d,
Adobe,,Senior Software Engineer,"Santa Clara, CA",3d,
Honda,,Software Engineer,"Elgin, IL",30d+,
Westchester Community College,,Software Development Engineer in Test,"San Francisco, CA",30d+,
DPS Telecom,,Software & System Dev. Sr. Engineer,"Raymond, OH",30d+,
Roblox,,Software Engineer II,"Valhalla, NY",3d,
OpenAI,,Embedded Software Engineer (Entry-Level),"Lake Hopatcong, NJ",2d,
"Akina, Inc.",,Senior Software Engineer - App Orchestration,"San Mateo, CA",30d+,
RXO,,"Software Engineer, Machine Learning Compute","San Francisco, CA",6d,
Infosys,,Software Engineer - 3 (Apache NiFi),"Annapolis Junction, MD",18d,
Medtronic,,Senior Software Engineer,"Southfield, MI",19d,
,,Junior Python Developer,"Charlotte, NC",2d,
,,GUI Software Engineer II - Surgical Robotics,"Boston, MA",10d,
